Partlist

Exported from HDMI_RGB_LVDS_fertig_V6.sch at 4/28/14 9:10 AM

EAGLE Version 6.3.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value                Device                        Package              Library           Sheet
R17      10k                  R0402                         R0402                SchlegelAr_Master 5
R18      10k                  R0402                         R0402                SchlegelAr_Master 6
R19      5k                   35WR5KLFTR                    35WR5KLFTR           SchlegelAr_Master 5
R20      15R                  R2512                         R2512                SchlegelAr_Master 4
R22      0R                   R0402                         R0402                SchlegelAr_Master 5
R23      0R                   R0402                         R0402                SchlegelAr_Master 5
R25      600R                 R0402                         R0402                SchlegelAr_Master 3
R27      2k5                  R0402                         R0402                SchlegelAr_Master 3
R28      4k7                  R0402                         R0402                SchlegelAr_Master 5
R29      4k7                  R0402                         R0402                SchlegelAr_Master 5
T1       IRLML5203TRPBF       IRLML5203TRPBF                SOT23                SchlegelAr_Master 3
T2       IRLML2502TRPBF       IRLML2502TRPBF                SOT23                SchlegelAr_Master 4
